session,category,website_count,tracker_count,average
2013_2014,essay,140,163,1.1642857142857144
2013_2014,schoolhomepage,1692,1091,0.6447990543735225
2013_2014,universityhomepage,845,455,0.5384615384615384
2013_2014,learninginstitute,1420,1498,1.0549295774647887
2013_2014,organization,4611,3938,0.8540446757753198
2013_2014,tutorial,3494,5045,1.4439038351459645
2013_2014,interactivelearning,763,976,1.2791612057667103
2013_2014,onlinecourses,417,412,0.988009592326139
2013_2014,questionanswer,177,170,0.96045197740113
2013_2014,languagelearning,910,1244,1.367032967032967
2013_2014,database,861,830,0.9639953542392566
2013_2014,serviceprovider,3413,2880,0.8438324055083504
2013_2014,publisher,1233,1162,0.9424168694241687
2014_2015,essay,140,149,1.0642857142857143
2014_2015,schoolhomepage,1692,1062,0.6276595744680851
2014_2015,universityhomepage,845,454,0.5372781065088758
2014_2015,learninginstitute,1420,1479,1.041549295774648
2014_2015,organization,4611,3995,0.8664064194317935
2014_2015,tutorial,3494,5331,1.5257584430452205
2014_2015,interactivelearning,763,992,1.3001310615989514
2014_2015,onlinecourses,417,433,1.038369304556355
2014_2015,questionanswer,177,216,1.2203389830508475
2014_2015,languagelearning,910,1228,1.3494505494505495
2014_2015,database,861,879,1.0209059233449478
2014_2015,serviceprovider,3413,2856,0.8368004687957808
2014_2015,publisher,1233,1175,0.9529602595296026
2015_2016,essay,140,152,1.0857142857142856
2015_2016,schoolhomepage,1692,1205,0.7121749408983451
2015_2016,universityhomepage,845,488,0.5775147928994083
2015_2016,learninginstitute,1420,1494,1.052112676056338
2015_2016,organization,4611,3992,0.8657558013446107
2015_2016,tutorial,3494,5222,1.4945621064682313
2015_2016,interactivelearning,763,948,1.2424639580602883
2015_2016,onlinecourses,417,419,1.0047961630695443
2015_2016,questionanswer,177,213,1.2033898305084745
2015_2016,languagelearning,910,1153,1.267032967032967
2015_2016,database,861,862,1.0011614401858304
2015_2016,serviceprovider,3413,2745,0.8042777615001465
2015_2016,publisher,1233,1215,0.9854014598540146
2016_2017,essay,140,161,1.15
2016_2017,schoolhomepage,1692,1426,0.8427895981087471
2016_2017,universityhomepage,845,541,0.6402366863905326
2016_2017,learninginstitute,1420,1602,1.128169014084507
2016_2017,organization,4611,4259,0.923660811103882
2016_2017,tutorial,3494,5410,1.5483686319404695
2016_2017,interactivelearning,763,959,1.2568807339449541
2016_2017,onlinecourses,417,425,1.0191846522781776
2016_2017,questionanswer,177,215,1.2146892655367232
2016_2017,languagelearning,910,1155,1.2692307692307692
2016_2017,database,861,870,1.0104529616724738
2016_2017,serviceprovider,3413,2930,0.8584822736595371
2016_2017,publisher,1233,1270,1.030008110300081
2017_2018,essay,140,178,1.2714285714285714
2017_2018,schoolhomepage,1692,1671,0.9875886524822695
2017_2018,universityhomepage,845,674,0.7976331360946746
2017_2018,learninginstitute,1420,1787,1.258450704225352
2017_2018,organization,4611,4723,1.024289741921492
2017_2018,tutorial,3494,5858,1.676588437321122
2017_2018,interactivelearning,763,1039,1.3617300131061598
2017_2018,onlinecourses,417,525,1.2589928057553956
2017_2018,questionanswer,177,242,1.3672316384180792
2017_2018,languagelearning,910,1282,1.408791208791209
2017_2018,database,861,979,1.1370499419279907
2017_2018,serviceprovider,3413,3327,0.974802226779959
2017_2018,publisher,1233,1566,1.27007299270073
2018_2019,essay,140,182,1.3
2018_2019,schoolhomepage,1692,1974,1.1666666666666667
2018_2019,universityhomepage,845,789,0.9337278106508876
2018_2019,learninginstitute,1420,2090,1.471830985915493
2018_2019,organization,4611,5179,1.1231836911732813
2018_2019,tutorial,3494,5771,1.6516886090440757
2018_2019,interactivelearning,763,1101,1.4429882044560944
2018_2019,onlinecourses,417,638,1.5299760191846523
2018_2019,questionanswer,177,273,1.5423728813559323
2018_2019,languagelearning,910,1354,1.487912087912088
2018_2019,database,861,1110,1.289198606271777
2018_2019,serviceprovider,3413,3743,1.0966891297978318
2018_2019,publisher,1233,1476,1.197080291970803
2019_2020,essay,140,200,1.4285714285714286
2019_2020,schoolhomepage,1692,2416,1.4278959810874705
2019_2020,universityhomepage,845,1001,1.1846153846153846
2019_2020,learninginstitute,1420,2492,1.7549295774647888
2019_2020,organization,4611,5952,1.2908262849707222
2019_2020,tutorial,3494,6093,1.7438465941614196
2019_2020,interactivelearning,763,1156,1.5150720838794234
2019_2020,onlinecourses,417,736,1.764988009592326
2019_2020,questionanswer,177,286,1.615819209039548
2019_2020,languagelearning,910,1545,1.6978021978021978
2019_2020,database,861,1138,1.321718931475029
2019_2020,serviceprovider,3413,4517,1.323469088778201
2019_2020,publisher,1233,1562,1.2668288726682888
2020_2021,essay,140,237,1.6928571428571428
2020_2021,schoolhomepage,1692,2767,1.6353427895981087
2020_2021,universityhomepage,845,1159,1.3715976331360946
2020_2021,learninginstitute,1420,2806,1.976056338028169
2020_2021,organization,4611,6565,1.4237692474517458
2020_2021,tutorial,3494,6480,1.8546078992558672
2020_2021,interactivelearning,763,1287,1.6867627785058978
2020_2021,onlinecourses,417,835,2.002398081534772
2020_2021,questionanswer,177,308,1.7401129943502824
2020_2021,languagelearning,910,1659,1.823076923076923
2020_2021,database,861,1220,1.4169570267131242
2020_2021,serviceprovider,3413,5263,1.5420451215939057
2020_2021,publisher,1233,1647,1.3357664233576643
2021_2022,essay,140,239,1.707142857142857
2021_2022,schoolhomepage,1692,3025,1.787825059101655
2021_2022,universityhomepage,845,1239,1.4662721893491124
2021_2022,learninginstitute,1420,2894,2.0380281690140847
2021_2022,organization,4611,6934,1.5037952721752332
2021_2022,tutorial,3494,6314,1.807097882083572
2021_2022,interactivelearning,763,1300,1.7038007863695936
2021_2022,onlinecourses,417,863,2.0695443645083933
2021_2022,questionanswer,177,315,1.7796610169491525
2021_2022,languagelearning,910,1698,1.865934065934066
2021_2022,database,861,1244,1.4448315911730545
2021_2022,serviceprovider,3413,5616,1.6454731907412834
2021_2022,publisher,1233,1724,1.3982157339821573
2022_2023,essay,140,237,1.6928571428571428
2022_2023,schoolhomepage,1692,3038,1.7955082742316786
2022_2023,universityhomepage,845,1316,1.557396449704142
2022_2023,learninginstitute,1420,2959,2.0838028169014087
2022_2023,organization,4611,7452,1.616135328562134
2022_2023,tutorial,3494,6385,1.8274184315970234
2022_2023,interactivelearning,763,1302,1.7064220183486238
2022_2023,onlinecourses,417,885,2.1223021582733814
2022_2023,questionanswer,177,308,1.7401129943502824
2022_2023,languagelearning,910,1764,1.9384615384615385
2022_2023,database,861,1274,1.4796747967479675
2022_2023,serviceprovider,3413,5934,1.7386463521828304
2022_2023,publisher,1233,1756,1.424168694241687
2023_2024,essay,140,241,1.7214285714285715
2023_2024,schoolhomepage,1692,3281,1.9391252955082743
2023_2024,universityhomepage,845,1321,1.5633136094674556
2023_2024,learninginstitute,1420,2997,2.11056338028169
2023_2024,organization,4611,7651,1.659292995011928
2023_2024,tutorial,3494,6306,1.8048082427017744
2023_2024,interactivelearning,763,1318,1.727391874180865
2023_2024,onlinecourses,417,858,2.0575539568345325
2023_2024,questionanswer,177,305,1.7231638418079096
2023_2024,languagelearning,910,1746,1.9186813186813187
2023_2024,database,861,1305,1.5156794425087108
2023_2024,serviceprovider,3413,5950,1.74333430999121
2023_2024,publisher,1233,1814,1.4712084347120844
2024_2025,essay,140,209,1.4928571428571429
2024_2025,schoolhomepage,1692,3402,2.0106382978723403
2024_2025,universityhomepage,845,1344,1.5905325443786982
2024_2025,learninginstitute,1420,2878,2.026760563380282
2024_2025,organization,4611,7470,1.620039037085231
2024_2025,tutorial,3494,5709,1.633943903835146
2024_2025,interactivelearning,763,1314,1.7221494102228048
2024_2025,onlinecourses,417,799,1.9160671462829737
2024_2025,questionanswer,177,289,1.6327683615819208
2024_2025,languagelearning,910,1656,1.8197802197802198
2024_2025,database,861,1270,1.4750290360046459
2024_2025,serviceprovider,3413,5946,1.7421623205391152
2024_2025,publisher,1233,1743,1.413625304136253
2025_2026,essay,140,200,1.4285714285714286
2025_2026,schoolhomepage,1692,2897,1.712174940898345
2025_2026,universityhomepage,845,1285,1.5207100591715976
2025_2026,learninginstitute,1420,2666,1.8774647887323943
2025_2026,organization,4611,7078,1.5350249403600087
2025_2026,tutorial,3494,5123,1.4662278191184888
2025_2026,interactivelearning,763,1239,1.6238532110091743
2025_2026,onlinecourses,417,790,1.894484412470024
2025_2026,questionanswer,177,263,1.4858757062146892
2025_2026,languagelearning,910,1594,1.7516483516483516
2025_2026,database,861,1161,1.348432055749129
2025_2026,serviceprovider,3413,5715,1.674479929680633
2025_2026,publisher,1233,1623,1.316301703163017
