year,nodes,edges,d_max,sum_diff,centralization
2013,1869,13059,358,642984,0.18436521162670935
2014,1893,12419,369,673679,0.18829567675078232
2015,1816,10516,352,618200,0.18776519327787244
2016,1957,10840,301,567377,0.14837342245513838
2017,2168,11647,317,663962,0.1414574616903174
2018,1810,10118,302,526384,0.1609406262688524
2019,1882,10631,320,580978,0.16429072358523647
2020,2095,11960,480,981680,0.22398763148732004
2021,1840,10322,452,811036,0.23994565812308696
2022,1754,10189,493,844344,0.27491814423805766
2023,1846,11161,593,1072356,0.3151967268045782
2024,632,4946,381,230900,0.5808366664151133
2025,601,4451,377,217675,0.6056622148024485
